message,emotion
same as usual,Neutral
aaj ka din achha nahi tha,Sad
yaar dil bhaari hai,Sad
ok,Neutral
kuch sahi nahi lag raha,Sad
trip confirmed,Excitement
promotion mil gaya,Happy
party tonight,Excitement
aaj ka din amazing tha,Happy
vacation booked,Excitement
festival vibes,Excitement
yaar dil bhaari hai,Sad
yaar dil bhaari hai,Sad
aisa hi chal raha hai,Neutral
normal hi hai,Neutral
dil udaas hai,Sad
road trip,Excitement
concert night,Excitement
theek hi hai,Neutral
vacation booked,Excitement
life bekaar chal rahi hai,Depressed
routine day,Neutral
road trip,Excitement
salary aa gayi,Happy
vacation booked,Excitement
aaj ka din amazing tha,Happy
vacation booked,Excitement
kuch khaas nahi,Neutral
same as usual,Neutral
aisa hi chal raha hai,Neutral
aisa hi chal raha hai,Neutral
bas normal day tha,Neutral
match jeet gaye,Excitement
theek hi hai,Neutral
andar se toot gaya hoon,Depressed
yaar dil bhaari hai,Sad
kuch sahi nahi lag raha,Sad
normal hi hai,Neutral
bahut zyada hopeless feel kar raha hoon,Depressed
future dark lag raha hai,Depressed
match jeet gaye,Excitement
normal hi hai,Neutral
kuch khaas nahi,Neutral
festival vibes,Excitement
aisa hi chal raha hai,Neutral
future dark lag raha hai,Depressed
jeene ka mann nahi karta,Depressed
trip confirmed,Excitement
bahut zyada hopeless feel kar raha hoon,Depressed
party tonight,Excitement
same as usual,Neutral
aaj smile ruk hi nahi rahi,Happy
normal hi hai,Neutral
trip confirmed,Excitement
feeling blessed today,Happy
kuch sahi nahi lag raha,Sad
match jeet gaye,Excitement
trip confirmed,Excitement
life set lag rahi hai,Happy
andar se bilkul khaali feel ho raha hai,Depressed
match jeet gaye,Excitement
routine day,Neutral
normal hi hai,Neutral
bas normal day tha,Neutral
aaj ka din amazing tha,Happy
kuch khaas nahi,Neutral
bas normal day tha,Neutral
sab khatam lag raha hai,Depressed
aaj bahut khush hoon,Happy
routine day,Neutral
match jeet gaye,Excitement
kuch khaas nahi,Neutral
routine day,Neutral
future dark lag raha hai,Depressed
bas normal day tha,Neutral
life bekaar chal rahi hai,Depressed
ok,Neutral
andar se toot gaya hoon,Depressed
aaj thoda sad feel kar raha hoon,Sad
feeling blessed today,Happy
routine day,Neutral
aaj thoda sad feel kar raha hoon,Sad
kuch sahi nahi lag raha,Sad
party tonight,Excitement
aisa hi chal raha hai,Neutral
routine day,Neutral
vacation booked,Excitement
aaj ka din amazing tha,Happy
vacation booked,Excitement
